word,explanation
excruciating,"nieznośny, potworny (ból)"
root for sb,kibicować komuś
nosedive,"spadać; spadać na łeb, na szyję The prices of fuel are nosediving"
elusive,"nieuchwytny, trudno osiągalny"
convenient,"wygodny, praktyczny"
togetherness,wspólnota
inevitable,nieunikniony
uphold,"podtrzymywać (decyzję, obietnicę)"
solemnly,"uroczyście, poważnie"
comb,grzebień
joint,staw (chrząstka)
swing,"huśtawka, huśtać się"
bury,zakopać
praise,chwalić
dove,gołąb
be all downhill,"polepszać się, mieć coś z górki, pogarszać się, ciągle się pogarszać"
evaporate,"minąć, wyparowywać, stopień (entuzjazm, wiara)"
deceptive,"oszukańczy, pozorny (Frank Underwood)"
flattery,pochlebstwa
clue,"pojęcie, I don't have a clue who you are."
whatsoever,"w ogóle, This what you are saying it doesn't make sense whatsoever(... to w ogóle nie ma sensu)"
freckles,piegi
discard,"wyrzucić kogoś , pozbyć się, nie akceptować, odrzucać (zmiany)"
leaning,"przychylać się ku, leaning no or leaning yes"
pit stop,"ktoś kto jest na chwilę, tymczasowy romans"
shatter around,niszczyć
strong-arm sb to do,zmusić kogoś do zrobienia czegoś
predominantly,"w głównej mierze, przeważnie"
harness,"zaprzęgać, okiełznać"
pooling,zbiorczy
whereas,"podczas gdy; natomiast; wziąwszy pod uwagę, że..."
subsequently,"następnie, potem"
stride,krok
peacock,paw
nick,"ukraść, buchnąć"
snog,obcałowywać się
draw in sorrow,topić się w smutkach
stove,"kuchenka, cooker"
knob,gałka u drzwi
chalice,kielich mszalny
be nuts,"być szalonym, postradać zmysły"
suspension,zawieszenie (np. ucznia w szkole)
leper,trędowaty
seizure,atak serca
pave,zabetonować
come into leaf,"pokryć się liśćmi, zazielenić się"
stork,bocian
wedge of stroks,klucz bocianów
flock,"gromada, stado"
flutter,"łagodnie unosić się w powietrzu, fruwać"
wheel,"koło (w rowerze, samochodzie)"
rolling chair,to na czym siedzisz przy komputerze
windowsill,parapet
"dust, flaff",kurz
dishwashing liquid,płyn do zmywania
wipe,wycierać (kurz)
wiper,ścierka
possess,"posiadać, mieć"
lead to,prowadzić do
comprehensive,zrozumiały
track down,"znaleźć, wytropić"
revert to something,powracać do czegoś
self-explanatory,"oczywisty, intuicyjny"
sparingly,oszczędnie
suitable,odpowiedni
spot,dostrzegać
crucial,"kluczowy, niezbędny"
prematurely,przedwcześnie
encompass,"objemować, ogarniać"
ambiguously,"dwuznacznie, niejednoznacznie"
discouragement,zniechęcenie
fallacy,błędne przekonanie
embark on,rozpocząć
retarded,"debilny, upośledzony psychiczny"
diminish,"zmniejszać się, maleć, ubywać"
dreadful,"okropny, straszny"
take something into account,wziąść coś pod uwagę
proliferation,rozpowszechnienie
to some extent,"w pewnym stopniu, częściowo"
induce to,"skłaniać do, powodować, wywolywać"
obesity,otyłość
stroke,udar mózgu
tape,kaseta
subpoena,wezwanie do sądu
inadmissible,niedopuszczalny w sądzie (dowód)
coercion,przymus
interrogation,przesłuchanie
fierce,"zacięty, zagorzały"
indictment,"akt oskarżenia, oskarżenie"
impersonate,"wcielać się w postać (kogoś), podawać soę za (kogoś), parodiować"
outraged,oburzony
endure,"znosić, cierpieć"
affidavit,oświadczenie złożone pod przysięgą
affiliation,przynależność
on smb behalf,w czyimś imieniu
tire,opona (w samochodzie)
protruding,"wystający, sterczący"
draught,"powiew (wiatru), przeciąg, przewiew"
essential,"niezbędny, podstawowy"
coherence,spójność
consistency,spójność
consistent,spójny
occur,"pojawić się, zdarzyć się"
make out,"całować się, udawać (np. że kogoś się nie widzi)"
initial,początkowy
appeal to smt,odwołanie do czegoś
reasoning,argumentacja
tendency,tendencja
plead smt,powoływać się na coś
falsifying,fałszowanie
covertly,"potajemnie, ukradkiem"
incredulity,niedowierzanie
credulity,łatwowierność
porridge,"odsiadka (w więzieniu), owsianka"
intrinsic,"wrodzony, wewnętrzny, nieodłączny"
mind-demanding,wymagający myślenia
unintelligible,"nieprzejrzysty, niezrozumiały"
apprise,ogłosić
formative,kształtujący
feat,"wyczyn, dokonanie"
accomplish,osiągać
peculiar,"osobliwy, dziwny, indywidualny"
above-average,ponadprzeciętny
declamation,wypowiedź
abrasive,"szorstki, zgryźliwy"
abridgement,"streszczenie, skrót, wersja skrócona"
upbringing,wychowanie
bladder,pęcherz
urinary system,układ moczowy
counterintuitive,sprzeczny z intuicją
puzzling,"zagadkowy, niezrozumiały"
gullible,łatwowierny
nonresistant to smt,nieodporny na coś
succinct,"treściwy, zwięzły (opis)"
simultaneously,at the same time
appearance,wygląd
handy,pomocny
hence,stąd (wynika)
associated,"połączony, powiązany"
comparsion,porównanie
syntactically,składniowo
silently,bezdźwięcznie
assignment,zadanie
idiosyncratic,"specyficzny, charakterystyczny"
mind-boggling,"ogromny, niewyobrażalny, niepojęty"
startling,"zadziwiający, zdumiewający"
crusty,chrupiący
rustic,"chłopski, prosty, wiejski"
pertain to smt,dotyczyć czegoś
insist upon my own right to something,domagać się swego prawa do czegoś
grief-stricken,pogrążony w żalu
exploitable,zdatny do wykorzystania
unchaperoned,"sam na sam, solo, sam"
primarily,"głównie, przede wszystkim, zasadniczo"
initiate sb into smt,wtajemniczyć kogoś w coś
throughout,przez cały (dzień) ... throught the day
lay out smt,przedstawić coś
akin to smt,"zbliżony do czegoś, pokrewny do czegoś"
inquisitive,"dociekliwy, ciekawski"
inquisitively,z zaciekawieniem
incur,wywoływać (strach u kogoś)
wrath,"gniew, ekstremalna, wściekłość"
vary,różnić się
unquenchable,"nieugaszony, niezaspokojony (pragnienie)"
remedy,"leczyć, rozwiązywać (problem)"
clutch,"chwytać, ściskać, trzymać kurczowo"
cherish,"pielęgnować, dbać, czcić"
ample,"pokaźny, dostateczny (dowód)"
conscientious,"sumienny, skrupulatny"
persuasive,przekonujący (ktoś)
intrepid,"nieustraszony, dzielny"
perspicacious,"bystry, przenikliwy, wnikliwy"
sagacious,"bystry, roztropny, rozumny"
resilient,"odporny, wytrzymały (o osobie)"
nonproductive,nieproduktywny
engaging,"wciągający, ujmujący, przykuwający uwagę"
enrich,wzbogacać
until recently,do niedawna
brain-busting,"skomplikowany, wymagający dużo wysiłku umysłowego"
vigorous,"energiczny, pełen wigoru, silny"
spout,"wygłaszać (mądrości), rozgadywać się"
surveillance,inwigilacja
doctored,"sfałszowany, podrobiony, przerobiony"
homicide,morderstwo
suicide,samobójstwo
prosecutor,"prokurator, oskarżyciel"
show off,popisywać się
perjury,krzywoprzysięstwo
convict,"uznawać za winnego, więzień, skazaniec"
culprit,"delikwent, winowajca (przestępstwa)"
frame sb in,wrabiać kogoś w coś
serenity,"spokój  (umysłu), pogoda (ducha)"
courage,odwaga
wisdom,mądrość
saviour,wybawca
immaturity,niedojrzałość
gaze,wpatrywać się
abyss,"otchłań, przepaść, czeluść"
prophecy,"proroctwo, przepowiednia"
accomplice,"współsprawca, współwinny (np. w dokonywaniu przestępstwa)"
aversion,"nienawiść, obrzydzenie, odraza, wstręt"
unscathed,"nietknięty, bez szwanku, bez uszczerbku"
sweat,pot
bloke,"facet, gość, koleś"
stain,plama
grimace,skrzywić się
hesitate,wachać się
hesitantly,"z wahaniem, niepewnie"
undermentioned,"niżej wymieniony, poniższy"
neglected,"zaniedbany, niedoceniony, lekceważony"
abduct,"porywać, uprowadzać"
insidious,"podstępny, pozornie niewinny (np. wróg, choroba)"
face repercussions,zmierzyć się z konsekwencjami
persuit,"pogoń, dążenie"
pressure,"nacik, presja"
temporary,"przejściowy, tymczasowy"
reckon,"myśleć, sądzić, przypuszczać, liczyć, kalkulować"
concussion,wstrząs mózgu
distinguish,"odróżniać, rozróżniać"
creed,wyznawana wiara
kick off smt,rozpocząć coś
internally,wewnętrznie
pass in,przekazywać
explicit,"jasny, wyraźny (czytelność)"
ensure,zapewniać
ownership,własność
leak,przeciek
snippet,"skrawek materiału, fragment, odrobina (czegoś)"
wrap,zapakować
terminate,"kończyć, przerywać"
grab a bite,"przekąsić co, pójść coś zjeść"
slip,poślizgnąć się
limb,konar
profanity,przekleństwo
fluke,"szczęsliwy traf, fart"
bashing,krytykowanie kogoś
lame,"kiepski (o wymówce), słaby, nudyny (o człowieku)"
well-itentioned,pełen dobrych chęci
bully,łobuz
snoop,"węszyć, wtykać nos w cudze sprawy"
rumor,"pogłoska, plotka"
choir,chór
emphasis,"nacisk, szczególna uwaga"
squarely,"całkowicie, niezaprzeczalnie"
pear,gruszka
rock-solid,twardy jak skała
suck-up,lizus
doubt,wątpić (I doubt it
whisper,szeptać
amplify,"wzmacniać (sygnał, dźwięk)"
exile,"wygnać, wygnanie"
errand,"sprawa, sprawa do załatwienia"
reckless,"nieostrożny, lekkomyślny"
rip apart,"rozdzierać, ostro krytykowa"
mortify,upokarzać
awkward,niezręczny
attainable,"realny, osiągalny (cel, plan)"
adventurous,"lubiący przygody, żądny przygód"
affectionate,czuły tkliwy
daring,"dzielny, ryzykowny, śmiały"
excel in smt,"wyróżniać się w czymś, być w czymś lepszym od innych, osiągać w czymś znakomite wyniki"
fair-minded,"sprawiedliwy, bezstronny, bez uprzedzeń"
be full of oneself,"egoistyczny, zarozumiały, mający duże mniemanie o sobie"
good-natured,"dobroduszny, pogodny, łagodny"
astute,"bystry, przenikliwy (w radzeniu sobie z ludźmi, problemami)"
exquisite,"znakomity, wyborny, wyśmienity"
wicked,"nikczemny, niegodziwy"
strong-willed,z silnym charakterem
cruel,okrutny
cruelty,okrucieństwo
remark,"spostrzeżenie, uwaga, komentować (na jakiś temat), napomknąć (o czymś)"
obscure,niejasny (trudny do zrozumienia)
external,zewnętrzny
stand up for,stanąć w obronie kogoś/czegoś
